X,Y,OBJECTID,STOP_NAME,STOP_CODE,NAPTAN_ATCO,ROAD_NAME,ROUTES,LIVE_BUS_ARRIVAL,OS_EASTING,OS_NORTHING,POSTCODE,DATE_UPDATED
534761.0,191137.0,627,Northumberland Park Bus Stand,BP4641,Unknown,NORTHUMBERLAND PARK,Unknown,https://tfl.gov.uk/bus/stop//,534761,191137,N17 0LB,2023-08-09 00:00:00+00:00
528623.0,179941.0,780,Hyde Park Corner,BP4661,Unknown,PICCADILLY,Unknown,https://tfl.gov.uk/bus/stop//,528623,179941,W1J 9DZ,2023-08-09 00:00:00+00:00
515372.0,168407.0,2401,Hampton Court Station,BP5447,Unknown,HAMPTON COURT STATION FORECOURT,Unknown,https://tfl.gov.uk/bus/stop//,515372,168407,KT8 9AE,2023-08-09 00:00:00+00:00
535302.0,168966.0,2951,Birkbeck,TRS162,9400ZZCRBIR1,HARRINGTON ROAD - BIRKBECK,T2,https://tfl.gov.uk/bus/stop/9400ZZCRBIR1/,535302,168966,SE20 7YA,2023-08-09 00:00:00+00:00
535744.0,169323.0,3016,Avenue Road,TRS164,9400ZZCRAVE1,AVENUE ROAD,T2,https://tfl.gov.uk/bus/stop/9400ZZCRAVE1/,535744,169323,BR3 4SB,2023-08-09 00:00:00+00:00
525623.0,162048.0,7434,Belmont Station,BP1768,Unknown,DOWNS ROAD,Unknown,https://tfl.gov.uk/bus/stop//,525623,162048,SM2 5SU,2023-08-09 00:00:00+00:00
543649.0,167309.0,14009,Hail Ride Faringdon Ave / Chesham Ave,H0429,490005110S,FARINGDON AVENUE,R3,https://tfl.gov.uk/bus/stop/490005110S/,543649,167309,BR2 8BP,2023-08-09 00:00:00+00:00
525401.0,183211.0,14842,Rudolph Road,C82,Unknown,CAMBRIDGE GARDENS (SOUTH ARM),Unknown,https://tfl.gov.uk/bus/stop//,525401,183211,NW6 5AY,2023-08-09 00:00:00+00:00
517601.0,181724.0,16478,Hail Ride Montpelier Road,H1000,490010001E,MONTPELIER ROAD,226,https://tfl.gov.uk/bus/stop/490010001E/,517601,181724,W5 2HB,2023-08-09 00:00:00+00:00
537975.0,163681.0,17095,The Coppins,33662,Unknown,FIELDWAY,Unknown,https://tfl.gov.uk/bus/stop//,537975,163681,CR0 9BS,2023-08-09 00:00:00+00:00
536709.0,163481.0,17096,Addington / Gravel Hill,35567,Unknown,GRAVEL HILL,Unknown,https://tfl.gov.uk/bus/stop//,536709,163481,CR0 5AR,2023-08-09 00:00:00+00:00
517891.0,180959.0,17098,Ealing Broadway Station,BP3468,Unknown,HAVEN GREEN (EAST SIDE),Unknown,https://tfl.gov.uk/bus/stop//,517891,180959,Unknown,2023-08-09 00:00:00+00:00
545979.0,176174.0,18079,Welling Station,35373,Unknown,VAUGHAN ROAD,Unknown,https://tfl.gov.uk/bus/stop//,545979,176174,DA16 3BQ,2023-08-09 00:00:00+00:00
538980.0,190178.0,18084,Hyland House School,6643,Unknown,BEACONTREE AVENUE,Unknown,https://tfl.gov.uk/bus/stop//,538980,190178,E17 4BT,2023-08-09 00:00:00+00:00
532139.0,187125.0,18143,Portland Rise,35456,Unknown,PORTLAND RISE,Unknown,https://tfl.gov.uk/bus/stop//,532139,187125,N4 2PT,2023-08-09 00:00:00+00:00
532368.0,166699.0,18158,Hogarth Crescent,BP1356,Unknown,HOGARTH CRESCENT,Unknown,https://tfl.gov.uk/bus/stop//,532368,166699,CR0 2XY,2023-08-09 00:00:00+00:00
525098.0,178694.0,18199,West Cromwell Road / Tesco,BP5542,Unknown,WEST CROMWELL ROAD,Unknown,https://tfl.gov.uk/bus/stop//,525098,178694,SW5 9QS,2023-08-09 00:00:00+00:00
549027.0,184511.0,18290,Dagenham Avenue,BP5917,Unknown,DAGENHAM AVENUE,Unknown,https://tfl.gov.uk/bus/stop//,549027,184511,RM9 6LD,2023-08-09 00:00:00+00:00
528044.0,168542.0,18606,Mitcham / Commonside West,BP5326,Unknown,COMMONSIDE WEST,Unknown,https://tfl.gov.uk/bus/stop//,528044,168542,CR4 4HA,2023-08-09 00:00:00+00:00
528026.0,168597.0,18607,Mitcham / Commonside West,BP5325,Unknown,COMMONSIDE WEST,Unknown,https://tfl.gov.uk/bus/stop//,528026,168597,CR4 4HA,2023-08-09 00:00:00+00:00
527408.0,182034.0,19037,Hayes Place,BP4974,Unknown,HAYES PLACE,Unknown,https://tfl.gov.uk/bus/stop//,527408,182034,NW1 6AA,2023-08-09 00:00:00+00:00
528031.0,178665.0,19196,No-Name-Taxi Post,PC05512,Unknown,SLOANE SQUARE,Unknown,https://tfl.gov.uk/bus/stop//,528031,178665,SW1W 8AQ,2023-08-09 00:00:00+00:00
540414.0,168692.0,19197,No Name-Taxi Post,PCO5754,Unknown,BROMLEY HIGH STREET,Unknown,https://tfl.gov.uk/bus/stop//,540414,168692,BR2 9HG,2023-08-09 00:00:00+00:00
528524.0,173193.0,19199,No Name-Taxi Post,PCO5458,Unknown,BALHAM STATION ROAD,Unknown,https://tfl.gov.uk/bus/stop//,528524,173193,SW12 9SG,2023-08-09 00:00:00+00:00
545124.0,162756.0,19206,Hail Ride Cudham Lane North,H0557,490009337N,CUDHAM LANE NORTH,R5,https://tfl.gov.uk/bus/stop/490009337N/,545124,162756,BR6 7JL,2023-08-09 00:00:00+00:00
527192.0,167196.0,19207,Hail And Ride Revesby Road,H0577,Unknown,REVESBY ROAD,Unknown,https://tfl.gov.uk/bus/stop//,527192,167196,SM5 1EZ,2023-08-09 00:00:00+00:00
531712.0,180050.0,19253,Chitterne,IMB107,Unknown,SCORESBY STREET,Unknown,https://tfl.gov.uk/bus/stop//,531712,180050,SE1 8NJ,2023-08-09 00:00:00+00:00
531712.0,180050.0,19254,Gore Cross Interchange,IMB104,Unknown,SCORESBY STREET,Unknown,https://tfl.gov.uk/bus/stop//,400787,151092,SE1 8NJ,2023-08-09 00:00:00+00:00
531712.0,180050.0,19255,Imber,IMB103,Unknown,SCORESBY STREET,Unknown,https://tfl.gov.uk/bus/stop//,396489,148623,SE1 8NJ,2023-08-09 00:00:00+00:00
531712.0,180050.0,19256,Lavington Vadette,IMB201,Unknown,SCORESBY STREET,Unknown,https://tfl.gov.uk/bus/stop//,531712,180050,SE1 8NJ,2023-08-09 00:00:00+00:00
535742.0,185499.0,19347,Clifden Road,TS0026,Unknown,CLIFDEN ROAD,Unknown,https://tfl.gov.uk/bus/stop//,535742,185499,E5 0LN,2023-08-09 00:00:00+00:00
547516.0,179614.0,19429,Yarnton Way / Harrow Manorway,BP6504,Unknown,Yarnton Way,Unknown,https://tfl.gov.uk/bus/stop//,547516,179614,SE2 9TQ,2023-08-09 00:00:00+00:00
543542.0,179158.0,19447,Beresford Street,BP5040,Unknown,BERESFORD STREET,Unknown,https://tfl.gov.uk/bus/stop//,543542,179158,SE18 6BF,2023-08-09 00:00:00+00:00
529306.0,187036.0,19490,Archway Road,BP6056,Unknown,ARCHWAY ROAD,Unknown,https://tfl.gov.uk/bus/stop//,529306,187036,N19 3TZ,2023-08-09 00:00:00+00:00
527921.0,180930.0,19524,Park Lane / Marble Arch,BP4893,Unknown,NORTH ROW,Unknown,https://tfl.gov.uk/bus/stop//,527921,180930,W1K 7JA,2023-08-09 00:00:00+00:00
530319.0,179826.0,19525,Westminster Pier,BP4892,Unknown,VICTORIA EMBANKMENT,Unknown,https://tfl.gov.uk/bus/stop//,530319,179826,SW1A 2JH,2023-08-09 00:00:00+00:00
537758.0,173842.0,19530,No Name-Dummy Stop,DS27,Unknown,RUSHEY GREEN,Unknown,https://tfl.gov.uk/bus/stop//,537758,173842,SE6 4HW,2023-08-09 00:00:00+00:00
512226.0,176119.0,19560,No Name-Taxi Post,PCO5556,Unknown,HOUNSLOW WEST STATION FORECOURT,Unknown,https://tfl.gov.uk/bus/stop//,512226,176119,TW3 3DH,2023-08-09 00:00:00+00:00
519786.0,178468.0,19561,No Name-Taxi Post,PCO5551,Unknown,CHISWICK HIGH ROAD,Unknown,https://tfl.gov.uk/bus/stop//,519786,178468,W4 5RP,2023-08-09 00:00:00+00:00
526303.0,184661.0,19562,No Name-Taxi Post,PCO5534,Unknown,FINCHLEY ROAD,Unknown,https://tfl.gov.uk/bus/stop//,526303,184661,NW3 6LP,2023-08-09 00:00:00+00:00
517912.0,169365.0,19577,Clarence Street,PCO5707,Unknown,CLARENCE STREET,Unknown,https://tfl.gov.uk/bus/stop//,517912,169365,KT1 1PB,2023-08-09 00:00:00+00:00
514320.0,182135.0,19645,Stanhope Road,33521,Unknown,OTTER ROAD,Unknown,https://tfl.gov.uk/bus/stop//,514320,182135,UB6 9DX,2023-08-09 00:00:00+00:00
517410.0,166544.0,19667,Hail Ride Lissant Close,HC302,Unknown,LOVELACE ROAD,Unknown,https://tfl.gov.uk/bus/stop//,517410,166544,KT6 6NZ,2023-08-09 00:00:00+00:00
538505.0,184818.0,19686,Stratford City,RR60,Unknown,MONTFICHET ROAD,Unknown,https://tfl.gov.uk/bus/stop//,538505,184818,E20 1YY,2023-08-09 00:00:00+00:00
529031.0,159839.0,19733,Lynwood Avenue,H1280,490016154S,GROVE LANE,"463, 633",https://tfl.gov.uk/bus/stop/490016154S/,529031,159839,CR5 2DF,2023-08-09 00:00:00+00:00
528915.0,159935.0,19734,Beechwood Avenue,H1279,490018756S,GROVE LANE,"463, 633",https://tfl.gov.uk/bus/stop/490018756S/,528915,159935,CR5 2QQ,2023-08-09 00:00:00+00:00
528536.0,160056.0,19735,Redford Avenue,H1278,490016157E,THE MOUNT,"463, 633",https://tfl.gov.uk/bus/stop/490016157E/,528536,160056,CR5 2PY,2023-08-09 00:00:00+00:00
539479.0,181417.0,19740,Canning Town Station (DLR),PCO5301,Unknown,SILVERTOWN WAY,Unknown,https://tfl.gov.uk/bus/stop//,539479,181417,E16 1EJ,2023-08-09 00:00:00+00:00
528824.0,189686.0,19741,Muswell Hill,PCO5755,Unknown,DUKES AVENUE,Unknown,https://tfl.gov.uk/bus/stop//,528824,189686,N10 2QR,2023-08-09 00:00:00+00:00
530410.0,177902.0,19742,Vauxhall,PCO5533,Unknown,SOUTH LAMBETH PLACE,Unknown,https://tfl.gov.uk/bus/stop//,530410,177902,SW8 1SS,2023-08-09 00:00:00+00:00
540230.0,169322.0,19745,Market Square,PCO5812,Unknown,MARKET SQUARE,Unknown,https://tfl.gov.uk/bus/stop//,540230,169322,BR1 1NF,2023-08-09 00:00:00+00:00
528910.0,159933.0,19753,Beechwood Avenue,H1281,490018756N,GROVE LANE,463,https://tfl.gov.uk/bus/stop/490018756N/,528910,159933,CR5 2QB,2023-08-09 00:00:00+00:00
528921.0,179066.0,19756,Victoria Station,PCO6056,Unknown,TAXI ROAD,Unknown,https://tfl.gov.uk/bus/stop//,528921,179066,SW1V 1PZ,2023-08-09 00:00:00+00:00
534657.0,185254.0,19757,Hackney Downs,RR61,Unknown,PEMBURY ROAD,Unknown,https://tfl.gov.uk/bus/stop//,534657,185254,E5 8LT,2023-08-09 00:00:00+00:00
